n_0,Hartree Fock,Upper Bound,Lower Bound
2,0.768366206,0.768366363,0.768364102
1.97979798,0.782800165,0.81653155,0.72537394
1.95959596,0.79699234,0.837667737,0.709410832
1.939393939,0.810942731,0.854260917,0.697990729
1.919191919,0.824651338,0.868463857,0.688960866
1.898989899,0.83811816,0.881114593,0.681483208
1.878787879,0.851343199,0.892644887,0.675125991
1.858585859,0.864326453,0.903312322,0.669631634
1.838383838,0.877067923,0.913285399,0.664831635
1.818181818,0.88956761,0.922681592,0.660608519
1.797979798,0.901825512,0.931586729,0.65687646
1.777777778,0.91384163,0.940065805,0.653570461
1.757575758,0.925615964,0.948169459,0.650639885
1.737373737,0.937148514,0.955938057,0.648044364
1.717171717,0.94843928,0.9634044,0.6457511
1.696969697,0.959488261,0.970595563,0.643733014
1.676767677,0.970295459,0.977534205,0.64196745
1.656565657,0.980860873,0.984239505,0.640435226
1.636363636,0.991184502,0.990727866,0.639119943
1.616161616,1.001266348,0.997013434,0.638007453
1.595959596,1.011106409,1.003108507,0.637085458
1.575757576,1.020704686,1.009023844,0.636343195
1.555555556,1.030061179,1.014768918,0.63577092
1.535353535,1.039175888,1.020352111,0.635349136
1.515151515,1.048048813,1.025780872,0.635014046
1.494949495,1.056679954,1.031061852,0.634716462
1.474747475,1.065069311,1.036201006,0.634440451
1.454545455,1.073216884,1.041203683,0.634179674
1.434343434,1.081122673,1.046074703,0.633930854
1.414141414,1.088786677,1.050818416,0.633692031
1.393939394,1.096208898,1.055438754,0.633461924
1.373737374,1.103389334,1.059939279,0.63323965
1.353535354,1.110327986,1.064323217,0.633024583
1.333333333,1.117024854,1.068593495,0.632816275
1.313131313,1.123479939,1.072752765,0.632614405
1.292929293,1.129693239,1.07680343,0.632418754
1.272727273,1.135664755,1.080747667,0.632229189
1.252525253,1.141394487,1.08458744,0.632045651
1.232323232,1.146882434,1.088324522,0.631868149
1.212121212,1.152128598,1.091960504,0.631696768
1.191919192,1.157132978,1.09549681,0.631531666
1.171717172,1.161895573,1.098934704,0.631373096
1.151515152,1.166416385,1.102275301,0.631221419
1.131313131,1.170695412,1.105519577,0.631077148
1.111111111,1.174732655,1.10866837,0.630941
1.090909091,1.178528115,1.11172239,0.630814012
1.070707071,1.18208179,1.114682222,0.630697746
1.050505051,1.185393681,1.117548329,0.630594753
1.03030303,1.188463788,1.120321056,0.63050985
1.01010101,1.191292111,1.123000631,0.630455754
0.98989899,1.193878649,1.12558717,0.633042293
0.96969697,1.196223404,1.128080672,0.638269467
0.949494949,1.198326375,1.130481023,0.643527447
0.929292929,1.200187561,1.132787994,0.648803518
0.909090909,1.201806964,1.13500124,0.654092861
0.888888889,1.203184582,1.137120297,0.659392926
0.868686869,1.204320416,1.139144582,0.664702152
0.848484848,1.205214467,1.141073383,0.670019501
0.828282828,1.205866733,1.142905863,0.675344256
0.808080808,1.206277215,1.144641047,0.680675903
0.787878788,1.206445913,1.146277819,0.686014082
0.767676768,1.206372827,1.147814914,0.691358541
0.747474747,1.206057956,1.14925091,0.69670912
0.727272727,1.205501302,1.150584214,0.702065737
0.707070707,1.204702864,1.151813055,0.707428379
0.686868687,1.203662641,1.152935468,0.712797107
0.666666667,1.202380635,1.153949275,0.718172055
0.646464646,1.200856844,1.154852075,0.723553441
0.626262626,1.199091269,1.155641214,0.728941585
0.606060606,1.197083911,1.156313767,0.734336937
0.585858586,1.194834768,1.156866506,0.739740122
0.565656566,1.192343841,1.157295871,0.745152022
0.545454545,1.18961113,1.157597929,0.750573919
0.525252525,1.186636634,1.157768329,0.756007774
0.505050505,1.183420355,1.157802253,0.761456863
0.484848485,1.179962292,1.157694351,0.766927524
0.464646465,1.176262444,1.157438667,0.772435692
0.444444444,1.172320813,1.157028552,0.778030554
0.424242424,1.168137397,1.156456555,0.783775907
0.404040404,1.163712198,1.155714296,0.789691247
0.383838384,1.159045214,1.154792301,0.795786319
0.363636364,1.154136446,1.15367981,0.802071887
0.343434343,1.148985894,1.152364527,0.808560248
0.323232323,1.143593558,1.150832304,0.815265549
0.303030303,1.137959438,1.14906674,0.822204191
0.282828283,1.132083534,1.147048654,0.829395354
0.262626263,1.125965846,1.144755389,0.836861696
0.242424242,1.119606374,1.142159868,0.844630295
0.222222222,1.113005117,1.139229293,0.852733948
0.202020202,1.106162077,1.135923294,0.861213025
0.181818182,1.099077252,1.132191234,0.870118162
0.161616162,1.091750643,1.127968119,0.879514355
0.141414141,1.084182251,1.12316812,0.889487431
0.121212121,1.076372074,1.117673762,0.900154866
0.101010101,1.068320113,1.111316546,0.911685161
0.080808081,1.060026368,1.103838887,0.924335896
0.060606061,1.051490839,1.094809025,0.938538837
0.04040404,1.042713526,1.083388922,0.955132017
0.02020202,1.033694428,1.067425813,0.976268203
0,1.024433547,1.024433666,1.024433369
